created_at,description,kind,published_at,title
2026-01-30T17:36:27+00:00,,news,2026-01-30T17:36:27Z,JUST IN: 🇺🇸 President Trump says his new Fed Chair Kevin Warsh will cut rates without any pressure.
2026-01-30T17:35:17+00:00,"Gold crashes 7% to $4,975 as dollar jumps on Trump's Fed chair pick. Profit-taking hits after $5,600 highs, but January's 16% rally intact.",news,2026-01-30T17:35:17Z,Gold Price Prediction: Gold Falls 7% Under $5K Barrier
